"date","type","registration","operator","fat.","location","Var.7","pic","cat","occurence","year","passenger.x","passenger.y","passenger"
"24-NOV-1930","Ford 5-AT-C Tri-Motor","NX419H","Ford Motor Company","2","Dearborn, MI",NA,NA,"A1",1,"1930",NA,NA,NA
"20-DEC-1930","Ford 4-AT-E Tri-Motor","NC9611","Pittsburgh Airways",NA,"Jennerstown, PA",NA,NA,"A1",1,"1930",NA,NA,NA
"??-???-1930","Junkers JuG-1W (G.24)","n/a","Soviet AF",NA,"",NA,NA,"A1",1,"1930",NA,NA,NA
"27-JAN-1931","Ford 5-AT-B Tri-Motor","NC9647","TWA","0","Harrisburg, PA",NA,NA,"A1",1,"1931",NA,NA,NA
"21-FEB-1931","Ford Tri-Motor","","Panagra","0","Arequipa Air...",NA,NA,"H2",1,"1931",NA,NA,NA
"01-APR-1931","Ford 5-AT-C Tri-Motor","NC8418","Panagra","0","Ovalle Airpo...",NA,NA,"A1",1,"1931",NA,NA,NA
"17-APR-1931","Ford 5-AT-C Tri-Motor","CV-FAI","Private","0","Mohania, Bihar",NA,NA,"A1",1,"1931",NA,NA,NA
"18-APR-1931","Junkers F.24ko (G.24)","D-896","Deutsche Lufthansa","0","Gex (Ain)",NA,NA,"A2",1,"1931",NA,NA,NA
"19-APR-1931","de Havilland DH.66 Hercules","G-EBMW","Imperial Airways","0","Kupang",NA,NA,"A1",1,"1931",NA,NA,NA
"22-APR-1931","Armstrong Whitworth Argosy II","G-AACH","Imperial Airways","0","London-Croyd...",NA,NA,"A1",1,"1931",NA,NA,NA
"29-APR-1931","Ford 5-AT-C Tri-Motor","NC421H","National Air Transport","0","Elyria, OH",NA,NA,"A1",1,"1931",NA,NA,NA
"11-JUN-1931","Junkers G.24","SE-AAG","AB Aerotransport","0","Malmö-Bullto...",NA,NA,"O1",1,"1931",NA,NA,NA
"16-JUN-1931","Armstrong Whitworth Argosy IA","G-EBLO","Imperial Airways","0","Aswan",NA,NA,"A1",1,"1931",NA,NA,NA
"04-AUG-1931","Fokker F.IX","PH-AFK","KLM","0","Rotterdam-Wa...",NA,NA,"A1",1,"1931",NA,NA,NA
"09-AUG-1931","Ford 5-AT-B Tri-Motor","NC9662","American Airways","6","Cincinnati, OH",NA,NA,"A1",1,"1931",NA,NA,NA
"19-AUG-1931","Ford 5-AT-B Tri-Motor","NC9554","TWA","0","Pittsburgh, PA",NA,NA,"A1",1,"1931",NA,NA,NA
"19-SEP-1931","Ford XB-906 (Tri-Motor)","NX9652","Ford Motor Company","2","Dearborn, MI",NA,NA,"A1",1,"1931",NA,NA,NA
"27-OCT-1931","Ford 5-AT-C Tri-Motor","NC427H","National Air Transport","0","Ashley, IN",NA,NA,"A1",1,"1931",NA,NA,NA
"19-DEC-1931","Ford 4-AT-E Tri-Motor","NC7119","TWA","1","Oklahoma Cit...",NA,NA,"A1",1,"1931",NA,NA,NA
"15-MAR-1932","Ford 4-AT-B Tri-Motor","NC4805","Skyway","0","Blackwell Ai...",NA,NA,"O1",1,"1932",NA,NA,NA
"27-JUN-1932","Junkers PS-5 (G.24)","CCCP-L718","Dobrolet",NA,"Nizhnetambovsk",NA,NA,"A1",1,"1932",NA,NA,NA
"10-JUL-1932","Boeing 80","","Boeing Air Transport","0","Stirling, IL",NA,NA,"A1",1,"1932",NA,NA,NA
"16-JUL-1932","Ford 5-AT-C Tri-Motor","NC403H","Panagra","9","Vitacura",NA,NA,"A1",1,"1932",NA,NA,NA
"29-JUL-1932","Junkers Ju-52/3mce","D-2201","Deutsche Lufthansa","0","Schleissheim...",NA,NA,"A2",1,"1932",NA,NA,NA
"31-AUG-1932","Junkers G.24","SE-AAE","AB Aerotransport","2","Tubbergen",NA,NA,"A1",1,"1932",NA,NA,NA
"02-OCT-1932","Ford 5-AT-B Tri-Motor","NC9664","Pan Am","0","El Aceituno,...",NA,NA,"A1",1,"1932",NA,NA,NA
"26-OCT-1932","Ford 5-AT-D Tri-Motor","n/a","LAB","2","Villamontes,...",NA,NA,"A1",1,"1932",NA,NA,NA
"14-DEC-1932","Ford 5-AT-B Tri-Motor","NC9650","TWA","2","Amarillo-Eng...",NA,NA,"A1",1,"1932",NA,NA,NA
"14-JAN-1933","Curtiss Condor 18","NC185H","Eastern Air Transport","2","Newark, NJ",NA,NA,"A1",1,"1933",NA,NA,NA
"24-JAN-1933","Ford 5-AT-D Tri-Motor","NC431H","Pacific Air Transport","2","Eugene, OR",NA,NA,"A1",1,"1933",NA,NA,NA
"10-FEB-1933","Ford 5-AT-B Tri-Motor","NC9666","TWA","0","Bakersfield, CA",NA,NA,"A1",1,"1933",NA,NA,NA
"21-MAR-1933","Ford JR-3 (5-AT-C) Tri-Motor","A8599","USMC","","Virginia Bea...",NA,NA,"A1",1,"1933",NA,NA,NA
"28-MAR-1933","Armstrong Whitworth Argosy II","G-AACI","Imperial Airways","15","Diksmuide",NA,NA,"A1",1,"1933",NA,NA,NA
"31-MAR-1933","Ford 4-AT-B Tri-Motor","NC7686","Private","7","Neodesha, KS",NA,NA,"A1",1,"1933",NA,NA,NA
