"","date","type","registration","operator","fat.","location","Var.7","pic","cat","occurence"
"16139","28-APR-1993","Beech C99","N115GP","GP Express","2","Shelton, NE",NA,NA,"A1",1
"16140","29-APR-1993","Embraer EMB-120RT Brasilia","N24706","Continental Express","0","Pine Bluff, AR",NA,NA,"A1",1
"16141","04-MAY-1993","ATR 42-300","N254AT","American Eagle, opb Simmons Airlines","0","Muskegon Air...",NA,NA,"A2",1
"16142","06-MAY-1993","SE-210 Caravelle 10B3","HK-3835X","SERCA Colombia","0","Cayenne-Roch...",NA,NA,"A1",1
"16143","06-MAY-1993","Shorts 330-200","VP-LVR","Atlantic Air BVI","0","Beef Island ...",NA,NA,"A1",1
"16144","11-MAY-1993","BN-2A-6 Islander","DQ-FEO","Fiji Air","2","Suva-Nausori...",NA,NA,"A1",1
"16145","12-MAY-1993","CASA C-212-M Aviocar 200","T-404","Angolan AF","","",NA,NA,"U1",1
"16146","14-MAY-1993","Harbin Yunshuji Y-12 II","334/OB-1499","TANS","0","Atalaya",NA,NA,"A1",1
"16147","15-MAY-1993","Douglas DC-6BF","XA-SEA","Carga del Caribe","2","Cancún",NA,NA,"A1",1
"16148","19-MAY-1993","Boeing 727-46","HK-2422X","SAM Colombia","132","Medellín",NA,NA,"A1",1
"16149","22-MAY-1993","DHC-3 Otter","C-GKPB","Loon Air","2","Edmonton/Vil...",NA,NA,"A2",1
"16150","26-MAY-1993","Cessna 550 Citation II","G-JETB","Aerocharter Midlands","0","Southampton-...",NA,NA,"A1",1
"16151","27-MAY-1993","Lockheed Hercules C.3P (C-130K)","XV193","RAF","9","Blair Athol",NA,NA,"A1",1
"16152","??-MAY-1993","Boeing 707-441","9Q-CMD","Blue Airlines","0","Goma Airport...",NA,NA,"A1",1
"16153","03-JUN-1993","BN-2A-20 Islander","P2-ISC","North Coast Aviation","","Kiriwina Island",NA,NA,"A1",1
"16154","06-JUN-1993","DHC-6 Twin Otter 300","HK-2759X","Aerotaca","2","El Yopal",NA,NA,"A1",1
"16155","07-JUN-1993","Learjet 35A","D-COCO","Aero-Dienst","4","Köln/Bonn Ai...",NA,NA,"A1",1
"16156","09-JUN-1993","BN-2A-20 Islander","P2-SWA","Southwest Air","9","Gulgubip Air...",NA,NA,"A1",1
"16157","09-JUN-1993","Convair CV-580","N580HH","Texas Instruments Inc.","0","Greenville-M...",NA,NA,"A2",1
"16158","14-JUN-1993","Dornier 228-201","B-12298","Formosa Airlines","0","Green Island...",NA,NA,"A1",1
"16159","16-JUN-1993","DHC-6 Twin Otter 300","PK-NUL","Merpati Nusantara","1","Nabire Airpo...",NA,NA,"A2",1
"16160","17-JUN-1993","Antonov An-26B","26035","Tajikistan Airlines","33","Tbilisi",NA,NA,"A1",1
"16161","17-JUN-1993","PADC/BN-2T Islander","RP-C766","National Power Corp.","0","Manila",NA,NA,"A2",1
